OBJECTID_1,OBJECTID,LINESECTIO,LINECODE,ID_Maximo,Shape_Leng,CORRIDOR,START,STOP,LIST,SEG_CODE,Shape_Le_1,Train_Segm,Train_Se00,Train_Se01,Wagon_KM_s,NTK,GTK,Container_,Loco_KM_s,Train_Reve,Number_of_,Number_o00,Number_o01,REGC2016
1,1,Johnsonville Line,74,1000008,10343.5008349,,Wellington,Johnsonville,39,,10343.5008349,,,,,,,,,,,,,02
2,3,North Island Main Trunk,1,1000000,74562.2593179,Central North Island,Longburn,Waikanae,36,MT6,74562.2593179,MT6,Longburn  -  Waikanae,Central North Island,"381,822","8,574,586","14,293,521","602,784","28,969","735,869",200,"5,275","5,117",03
3,10,Wairarapa Line,71,1000012,58641.7769923,Wairarapa,Masterton,Upper Hutt,42,WR3,58641.7769923,WR3,Masterton  -  Upper Hutt,Wairarapa,"530,890","6,196,354","14,771,548","41,681","104,324","738,159","4,189","26,643","6,037",04
4,11,Marton - New Plymouth Line,41,1000019,129939.725312,Central North Island,Whareroa,Marton,28,CN4,129939.725312,CN4,Whareroa  -  Marton,Central North Island,"6,157,121","113,377,738","211,421,431","8,787,896","584,745","10,217,919","2,679","55,113","56,727",04
5,12,Wanganui Branch,42,1000020,9206.54689952,Central North Island,Aramoho Jnctn,Castlecliff,29,CN8,9206.54689952,CN8,Aramoho Jnctn  -  Castlecliff,Central North Island,"124,509","2,323,424","4,237,440","113,300","9,553","211,588",710,"15,362","6,965",04
7,15,Stratford - Okahukura Line,46,1000022,143421.451266,,,,0,,143421.451266,,,,,,,,,,,,,05
8,16,Melling Branch,72,1000014,2989.03721013,,,,0,,2989.03721013,,,,,,,,,,,,,02
9,17,Palmerston North - Gisborne Line,75,1000016,211555.411922,Gisborne,Napier,Gisborne,38,MB4,211555.411922,MB4,Napier  -  Gisborne,Gisborne,"9,235","215,161","368,857",0,"2,824",0,12,165,12,02
10,18,Makaraka Branch,77,1000018,3623.34488503,,,,0,,3623.34488503,,,,,,,,,,,,,02
12,21,Mission Bush Branch,84,1000034,17240.9144899,Auckland - Bay of Plenty,Paerata,Mission Bush,11,G13,17240.9144899,G13,Paerata  -  Mission Bush,Auckland - Bay of Plenty,"665,476","15,641,608","28,707,687","61,200","35,559","2,684,211","2,063","40,292","6,742",02
