OBJECTID,TA2016,TA2016_NAM,AREA_SQ_KM,LAND_SQ_KM,Shape_Leng,Shape_Area,REGC2016
1,001,Far North District,6689.83966582,6677.41023006,2178565.88348,6689832624.83,01
2,002,Whangarei District,2711.79834746,2711.79834746,919118.809284,2711793927.2,01
3,003,Kaipara District,3108.7123315,3108.7123315,934310.383327,3108708666.84,01
4,011,Thames-Coromandel District,2207.01215114,2207.01215114,818934.032141,2207008914.93,03
5,012,Hauraki District,1270.04864563,1270.04864563,311277.322454,1270043934.86,03
6,013,Waikato District,4450.59146272,4403.24173369,679497.923074,4450590326.01,03
7,015,Matamata-Piako District,1755.43384191,1755.43384191,244715.50479,1755433977.91,03
8,016,Hamilton City,110.936429945,110.372833208,70459.1674029,110935038.82,03
9,017,Waipa District,1470.04475922,1470.04475922,248054.244134,1470046696.28,03
10,018,Otorohanga District,1999.18969033,1999.18969033,456747.256118,1999191340.91,03
11,019,South Waikato District,1819.00641897,1819.00641897,240571.169108,1819005672.85,03
12,020,Waitomo District,3534.78898979,3534.78898979,419259.704588,3534789285.03,03
13,021,Taupo District,6963.85974335,6333.38873183,492019.738583,6963851521.13,03
14,022,Western Bay of Plenty District,1950.84151181,1950.84151181,567124.84414,1950847556.66,04
15,023,Tauranga City,134.75599714,134.75599714,164965.160136,134754799.556,04
16,024,Rotorua District,2618.98370111,2409.03266429,278772.005145,2618985670.56,04
17,025,Whakatane District,4450.01786495,4450.01786495,437252.739552,4450015851.13,04
18,026,Kawerau District,23.6308779601,23.6308779601,25155.3814239,23631420.6362,04
19,027,Opotiki District,3089.22477182,3089.22477182,480048.666335,3089225183.43,04
20,028,Gisborne District,8385.81607685,8385.81607685,689548.621887,8385817041.55,05
21,029,Wairoa District,4130.14136378,4076.87791821,462366.78216,4130137445.28,06
22,030,Hastings District,5226.73258087,5226.73258087,549590.643723,5226731578.81,06
23,031,Napier City,105.447099248,105.447099248,77102.0236735,105447842.864,06
24,032,Central Hawke's Bay District,3333.04244251,3332.21411011,345598.908009,3333041288.13,06
25,033,New Plymouth District,2205.41262982,2205.41262982,378360.499002,2205412235.68,07
26,034,Stratford District,2163.42029961,2163.42029961,410555.653207,2163417568.28,07
27,035,South Taranaki District,3575.08289907,3575.08289907,374570.711769,3575083091.65,07
28,036,Ruapehu District,6734.41962551,6734.41962551,646025.502296,6734423121.88,08
29,037,Whanganui District,2373.24064357,2373.24064357,426915.881747,2373244549.98,08
30,038,Rangitikei District,4483.74436214,4483.74436214,620789.303049,4483740897.17,08
31,039,Manawatu District,2567.04618675,2567.04618675,317443.680504,2567047306.69,08
32,040,Palmerston North City,394.631158592,394.631158592,108391.732988,394629332.026,08
33,041,Tararua District,4364.24143701,4364.24143701,421797.786832,4364247659.12,08
34,042,Horowhenua District,1063.98646068,1063.98646068,161254.737238,1063987784.7,08
35,043,Kapiti Coast District,731.449251628,731.449251628,185882.868656,731449394.263,09
36,044,Porirua City,174.807270076,174.807270076,115180.678395,174808883.213,09
37,045,Upper Hutt City,539.872088429,539.872088429,128059.284258,539871715.054,09
38,046,Lower Hutt City,376.403165621,376.403165621,130546.185923,376403284.171,09
39,047,Wellington City,289.870782795,289.870782795,131841.572639,289870175.214,09
40,048,Masterton District,2300.19886641,2300.19886641,332575.49634,2300195168.08,09
41,049,Carterton District,1179.93179043,1179.93179043,322241.523264,1179934221.22,09
42,050,South Wairarapa District,2457.8836288,2386.99207704,320017.886556,2457881643.01,09
43,051,Tasman District,9649.73356466,9616.22807566,1049599.53363,9649727891.06,16
44,052,Nelson City,424.416146944,424.416146944,170777.048629,424415695.098,17
45,053,Marlborough District,10470.4613879,10457.6710172,2306311.48978,10470474708.3,18
46,054,Kaikoura District,2046.77134718,2046.77134718,313853.202498,2046770742.19,13
47,055,Buller District,7941.51359072,7941.51359072,780306.181031,7941516103.44,12
48,056,Grey District,3515.41885648,3474.47733242,345612.275379,3515418125.66,12
49,057,Westland District,11862.7155057,11827.820838,1089565.45034,11862715230.1,12
50,058,Hurunui District,8654.4664245,8640.9286933,579138.982072,8654468051.31,13
51,059,Waimakariri District,2217.43147215,2217.43147215,263994.947767,2217430737.97,13
52,060,Christchurch City,1484.63775018,1415.43337109,536487.684902,1484639408.69,13
53,062,Selwyn District,6552.54614156,6380.85068762,513589.872391,6552546373.73,13
54,063,Ashburton District,6189.51959342,6182.55341337,419600.08804,6189517500.03,13
55,064,Timaru District,2732.68564475,2732.68564475,448114.231989,2732687936.61,13
56,065,Mackenzie District,7442.11102295,7140.44840144,539175.405529,7442111415.03,13
57,066,Waimate District,3583.1243093,3554.46267766,287832.334789,3583124905.64,13
59,068,Waitaki District,7216.41463877,7109.4290708,738683.019211,7216412570.88,14
60,069,Central Otago District,9968.45696384,9955.98024742,633366.309519,9968458142.77,14
61,070,Queenstown-Lakes District,9375.19192608,8719.40072749,603504.464803,9375191800.33,14
62,071,Dunedin City,3286.60044977,3286.60044977,570595.746271,3286600868.82,14
63,072,Clutha District,6362.22786155,6334.45805454,610826.512331,6362226135.7,14
64,073,Southland District,30198.4023166,29552.3318246,3520772.83565,30198394744.4,15
65,074,Gore District,1253.81748529,1253.81748529,233801.799032,1253817263.73,15
66,075,Invercargill City,388.981013511,388.981013511,270287.49329,388981880.135,15
67,076,Auckland,4940.87564219,4939.80487291,2879734.2632,4940868430.91,02
68,999,Area Outside Territorial Authority,24.8942515208,24.8942515208,56062.3662135,24894340.5668,04
